nama_resto,alamat,kecamatan,kategori,Phones,jumlah_review,rating,google_maps,latitude,longitude,website,domain,working_hour,facilities,average_price,type_resto
Mie Sapi Banteng,"Jl. Banteng Utama No.25, Banteng, Sinduharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581","Banteng, Sinduharjo","Noodle shop,chinese restaurant",,2057,4.4,https://www.google.com/maps?cid=3039358550015460014,-7.7343303,110.3901716,https://instagram.com/miesapi.banteng?utm_medium=copy_link,instagram.com,"Minggu: [Tutup], Senin: [11.00-16.00], Selasa: [11.00-16.00], Rabu: [11.00-16.00], Kamis: [11.00-16.00], Jumat: [Tutup], Sabtu: [11.00-16.00]",tempat parkir,1,2
Gudeg Sagan,"JL Prof. Dr Jl. Prof. Herman Yohanes No.53, Samirono, Caturtunggal, Depok, Sleman Regency, Special Region of Yogyakarta 55223","Samirono, Caturtunggal",Indonesian restaurant,"0851-0044-3035, +62 851-0044-3035",5421,4.7,https://www.google.com/maps?cid=3915711396620280281,-7.777918,110.3797758,,,"Minggu: [8.00-21.00], Senin: [8.00-21.00], Selasa: [8.00-21.00], Rabu: [8.00-21.00], Kamis: [8.00-21.00], Jumat: [8.00-21.00], Sabtu: [8.00-21.00]","tempat parkir, live music",3,5
BRICafe X Couvee,"Jl. Sagan Tim. No.123, Terban, Kec. Gondokusuman, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55223",Terban,Coffee shop,"(0274) 5012463, +62 274 5012463",1028,4.6,https://www.google.com/maps?cid=2622049478280246299,-7.780584,110.3786765,http://couvee.co.id/,couvee.co.id,"Minggu: [8.00-113.00], Senin: [8.00-113.00], Selasa: [8.00-113.00], Rabu: [8.00-113.00], Kamis: [8.00-113.00], Jumat: [8.00-113.00], Sabtu: [8.00-113.00]","tempat parkir, colokan, wifi, mushalla / tempat shalat, atm",3,3
Fore Coffee - Kaliurang,"Kaliurang St No.KM 5, Karang Wuni, Caturtunggal, Depok, Sleman Regency, Special Region of Yogyakarta 55153","Kaliurang St No.KM 5, Karang Wuni, Caturtunggal",Coffee shop,,1189,4.4,https://www.google.com/maps?cid=5092700768130569633,-7.7602584,110.3810651,http://profile.fore.coffee/,profile.fore.coffee,"Minggu: [7.00-11:417.00], Senin: [7.00-11:417.00], Selasa: [7.00-11:417.00], Rabu: [7.00-11:417.00], Kamis: [7.00-11:417.00], Jumat: [7.00-11:417.00], Sabtu: [7.00-11:417.00]","tempat parkir, colokan, wifi",3,3
Seven Stones Rainforest Coffee,"Karang Wuni, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55284",Caturtunggal,Coffee shop,"0821-3744-4623, +62 821-3744-4623",894,4.6,https://www.google.com/maps?cid=8542407273452079707,-7.7602921,110.379575,https://www.instagram.com/7stones.yk/,instagram.com,"Minggu: [9.00-113.00], Senin: [9.00-113.00], Selasa: [9.00-113.00], Rabu: [9.00-113.00], Kamis: [9.00-113.00], Jumat: [9.00-113.00], Sabtu: [9.00-113.00]","tempat parkir, colokan, wifi, mushalla / tempat shalat",3,3
Oppio Coffee,"Jl. Nglengkong Besi No.11, Area Sawah, Sukoharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581","Area Sawah, Sukoharjo",Coffee shop,"0812-3999-9082, +62 812-3999-9082",681,4.3,https://www.google.com/maps?cid=16889860606226609573,-7.707374,110.422012,https://www.instagram.com/oppio.coffee/?hl=en,instagram.com,"Minggu: [2-22.00], Senin: [2-22.00], Selasa: [2-22.00], Rabu: [2-22.00], Kamis: [2-22.00], Jumat: [2-22.00], Sabtu: [2-22.00]","tempat parkir, colokan, wifi, mushalla / tempat shalat, live music",3,3
Rumah Makan Padang Sederhana,"Kaliurang St No.5, RW.6, Manggung, Caturtunggal, Depok, Sleman Regency, Special Region of Yogyakarta 55281","RW.6, Manggung, Caturtunggal",Padang restaurant,"(0274) 550000, +62 274 550000",3833,4.5,https://www.google.com/maps?cid=8229667722706303150,-7.7572944,110.382419,http://www.restoransederhana.id/,restoransederhana.id,"Minggu: [8.00-22.00], Senin: [8.00-22.00], Selasa: [8.00-22.00], Rabu: [8.00-22.00], Kamis: [8.00-22.00], Jumat: [8.00-22.00], Sabtu: [8.00-22.00]",tempat parkir,3,4
Warung Kopi Klotok,"Jalan Kaliurang No.KM.16, Area Sawah, Pakembinangun, Kec. Pakem, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55582","Area Sawah, Pakembinangun",Indonesian restaurant,"0822-3131-2004, +62 822-3131-2004",31221,4.5,https://www.google.com/maps?cid=4324110278035839068,-7.6703429,110.4213061,,,"Minggu: [7.00-9:30 PM], Senin: [7.00-9:30 PM], Selasa: [7.00-9:30 PM], Rabu: [7.00-9:30 PM], Kamis: [7.00-9:30 PM], Jumat: [7.00-9:30 PM], Sabtu: [7.00-9:30 PM]",tempat parkir,1,2
Tanbo,"Jl. Palem Raya, Tambakan, Sinduharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581","Tambakan, Sinduharjo",Cafe,"0895-3879-77500, +62 895-3879-77500",2791,4.1,https://www.google.com/maps?cid=1754883240596300611,-7.7316269,110.3992537,,,"Minggu: [10.00-22.00], Senin: [10.00-22.00], Selasa: [10.00-22.00], Rabu: [10.00-22.00], Kamis: [10.00-22.00], Jumat: [10.00-22.00], Sabtu: [10.00-22.00]","tempat parkir, colokan, wifi, mushalla / tempat shalat, live music",3,3
Tilasawa Coffee Roaster,"Jl. Kakatua No.100, Manukan, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281","Manukan, Condongcatur",Coffee shop,"0813-8644-7563, +62 813-8644-7563",800,4.5,https://www.google.com/maps?cid=8938181681560018436,-7.7426969,110.4010651,http://www.instagram.com/tilasawacoffee,instagram.com,"Minggu: [Buka 24 jam], Senin: [Buka 24 jam], Selasa: [Buka 24 jam], Rabu: [Buka 24 jam], Kamis: [Buka 24 jam], Jumat: [Buka 24 jam], Sabtu: [Buka 24 jam]","tempat parkir, colokan, wifi, mushalla / tempat shalat, live music",3,3
