nama_resto,menu,harga,rank_menu
Mie Sapi Banteng,mie sapi kuah,13000,1
Mie Sapi Banteng,sup pangsit,13000,2
Mie Sapi Banteng,kwetiau sapi kuah,14000,3
Mie Sapi Banteng,mie sapi,12000,4
Mie Sapi Banteng,es jeruk ,3000,5
Mie Sapi Banteng,es teh ,3000,6
Gudeg Sagan,nasi gudeg krecek paha,36500,1
Gudeg Sagan,nasi gudeg krecek dada,36500,2
Gudeg Sagan,nasi gudeg krecek tempe,10000,3
Gudeg Sagan,es teh ,5500,4
Gudeg Sagan,teh tawar,1500,5
Gudeg Sagan,es jeruk ,8000,6
Gudeg Sagan,lemon tea,8000,7
Gudeg Sagan,es kopi,7000,8
BRICafe X Couvee,caramel macchiato,25000,1
BRICafe X Couvee,salted caramel caffe latte,25000,2
BRICafe X Couvee,vanilla caffe latte,25000,3
BRICafe X Couvee,vanilla rum caffe latte,25000,4
BRICafe X Couvee,creme brulee cafe latte,25000,5
BRICafe X Couvee,hazelnut cafe latte,25000,6
Fore Coffee - Kaliurang,soy cafe latte,39000,1
Fore Coffee - Kaliurang,say coconut latte,42000,2
Fore Coffee - Kaliurang,hanami latte,35000,3
Fore Coffee - Kaliurang,aren latte ,20000,4
Fore Coffee - Kaliurang,iced latte,35000,5
Seven Stones Rainforest Coffee,salted caramel coffee,24000,1
Seven Stones Rainforest Coffee,palm sugar coffee,25000,2
Seven Stones Rainforest Coffee,hazelnut latte coffee,25000,3
Oppio Coffee,oppio hazelnut coffee,30000,1
Oppio Coffee,oppio caramel coffee,30000,2
Oppio Coffee,royal red velvet,33600,3
Oppio Coffee,royal matcha,36000,4
Oppio Coffee,mix platter,42000,5
Oppio Coffee,french fries,24000,6
Rumah Makan Padang Sederhana,nasi ayam pop,26620,1
Rumah Makan Padang Sederhana,nasi rendang,30250,2
Rumah Makan Padang Sederhana,nasi dendeng,30250,3
Rumah Makan Padang Sederhana,nasi paru,26620,4
Rumah Makan Padang Sederhana,nasi kikil,30250,5
Rumah Makan Padang Sederhana,nasi cincang,36300,6
Rumah Makan Padang Sederhana,nasi otak,23100,7
Rumah Makan Padang Sederhana,nasi ati ampela,21780,8
Rumah Makan Padang Sederhana,nasi telor balado,12100,9
Rumah Makan Padang Sederhana,nasi otak,23100,10
Warung Kopi Klotok,nasi putih,3500,1
Warung Kopi Klotok,lodeh tempe lombok ijo,6500,2
Warung Kopi Klotok,lodeh kluwih,6500,3
Warung Kopi Klotok,lodeh terong,6500,4
Warung Kopi Klotok,sayur asem ,6500,5
Warung Kopi Klotok,sambel dadak,500,6
Warung Kopi Klotok,sego megono,6500,7
Warung Kopi Klotok,telur krispi,6500,8
Warung Kopi Klotok,ayam goreng,7500,9
Warung Kopi Klotok,pindang goreng,3000,10
Warung Kopi Klotok,kopi klotok,5000,11
Warung Kopi Klotok,pisang goreng,6500,12
Warung Kopi Klotok,es teh manis,4500,13
Warung Kopi Klotok,es jeruk ,4900,14
warung layar sentuh,green tea ,24000,1
warung layar sentuh,red velvet ,24000,2
warung layar sentuh,jus mangga ,18000,3
warung layar sentuh,jus semangka,16000,4
warung layar sentuh,lychee tea,18000,5
warung layar sentuh,jus jambu ,16000,6
warung layar sentuh,matchafogatto,22000,7
warung layar sentuh,teh gula batu,16000,8
warung layar sentuh,banana smoothies,22000,9
tilasawa,caramel latte,26000,1
tilasawa,hazelnut latte,26000,2
tilasawa,flat white,26000,3
tilasawa,cereal ice cofffee,26000,4
tilasawa,screwpine coffee ,26000,5
tilasawa,cascara,23000,6
tilasawa,manual brew,25000,7
sushi tei,salmon bo sushi,72000,1
sushi tei,salmon sushi,27000,2
sushi tei,miso soup,23000,3
sushi tei,tempura,18000,4
sushi tei,fried salmon skin,59000,5
sushi tei,edamame,25000,6
sushi tei,chawanmushi,31000,7
sushi tei,takoyaki,35000,8
sushi tei,chuka wakame,42000,9
sushi tei,chuka iidako,59000,10
sushi tei,sashimi salad,87000,11
sushi tei,yakiniku salad,68000,12
sushi tei,salmon zukushi sashimi,174000,13
sushi tei,green tea (ocha),7000,14
cinema bakery,almond croissant,20000,1
cinema bakery,cheese croissant ,12000,2
cinema bakery,pain au chocolate,13000,3
cinema bakery,pizza,30000,4
cinema bakery,french sandwich,40000,5
cinema bakery,caramel late,40000,6
cinema bakery,lemon squash ,27000,7
cinema bakery,chamomile tea,22000,8
cinema bakery,ice cream (2 scoops),35000,9
cinema bakery,vanilla milkshake,28000,10
cinema bakery,cheese banana,11000,11
chingu cafe,yoo si jin's orignial (soup),79000,1
chingu cafe,prime mozarella half-chicken,99000,2
chingu cafe,beef & chicken mozza bbq,89000,3
chingu cafe,all-in-1 mozza bbq,109000,4
chingu cafe,classic ramyeon,19900,5
chingu cafe,mushroom ramyeon,23900,6
chingu cafe,korean chicken popcorn (spicy sauce),21900,7
chingu cafe,korean chicken popcorn (sweet sauce),19900,8
Ayam Pedas Arto Moro,ayam bakar pedas ,18900,1
Ayam Pedas Arto Moro,ayam bakar manis,18900,2
Ayam Pedas Arto Moro,paket ayam bakar pedas,26000,3
Ayam Pedas Arto Moro,sayur asem bandoeng ,4500,4
Ayam Pedas Arto Moro,nasi sepuasnya ,4500,5
Ayam Pedas Arto Moro,es teh manis,4500,6
Ayam Pedas Arto Moro,es jeruk ,6000,7
Filosofi Kopi Jogja,caffe latte,33000,1
Filosofi Kopi Jogja,capuccino,33000,2
Filosofi Kopi Jogja,green tea latte hot,32000,3
Filosofi Kopi Jogja,green tea latte ice,35000,4
Filosofi Kopi Jogja,red velvet ice,35000,5
Filosofi Kopi Jogja,waffle,35000,6
Filosofi Kopi Jogja,french fries,22000,7
Tempo Gelato,gelato cone (2 flavors),30000,1
Tempo Gelato,small cup (2 flavors),25000,2
Tempo Gelato,medium cup (3 flavors),45000,3
Tempo Gelato,big cup (4 flavors),70000,4
Tempo Gelato,x-big (5 flavors),120000,5
Tempo Gelato Prawirotaman,gelato cone (2 flavors),30000,1
Tempo Gelato Prawirotaman,small cup (2 flavors),25000,2
Tempo Gelato Prawirotaman,medium cup (3 flavors),45000,3
Tempo Gelato Prawirotaman,big cup (4 flavors),70000,4
Tempo Gelato Prawirotaman,x-big (5 flavors),120000,5
EL PRIMO SAUSAGE & DAIRY,el primo deli platter,110000,1
EL PRIMO SAUSAGE & DAIRY,el primo frankfurter sausage,65000,2
